Time (s),Voltage (V),Current (A),Temp (C)
698.05,9.98,0.75,25.0
699.13,9.92,0.75,25.0
700.22,9.97,0.75,25.0
701.30,9.96,0.74,25.0
702.38,9.92,0.73,25.0
703.46,9.91,0.72,25.0
704.55,9.92,0.72,25.0
705.63,9.95,0.75,25.0
706.71,9.95,0.74,25.0
707.79,9.94,0.74,25.0
708.88,9.95,0.78,25.0
709.96,9.95,0.77,25.0
711.04,9.95,0.75,25.0
712.12,9.95,0.74,25.0
713.21,9.94,0.77,25.0
714.29,9.95,0.75,25.0
715.37,9.95,0.74,25.0
716.45,9.96,0.74,25.0
717.53,9.94,0.76,25.0
718.61,9.94,0.75,25.0
719.70,9.93,0.76,25.0
720.78,9.97,0.74,25.0
721.86,9.96,0.74,25.0
722.95,9.96,0.77,25.0
724.03,9.97,0.78,25.0
725.11,9.90,0.72,25.0
726.19,9.93,0.77,25.0
727.27,9.92,0.78,25.0
728.36,9.90,0.74,25.0
729.44,9.96,0.74,25.0
730.52,9.93,0.74,25.0
731.60,9.94,0.75,25.0
732.69,9.94,0.77,25.0
733.77,9.92,0.74,25.0
734.85,9.90,0.75,25.0
735.93,9.92,0.79,25.0
737.01,9.91,0.73,25.0
738.09,9.90,0.74,25.0
739.18,9.93,0.74,25.0
740.26,9.98,0.76,25.0
741.34,9.93,0.76,25.0
742.42,9.92,0.76,25.0
743.51,9.95,0.75,25.0
744.59,9.93,0.76,25.0
745.67,9.91,0.74,25.0
746.75,9.97,0.73,25.0
747.84,9.94,0.74,25.0
748.92,9.94,0.74,25.0
750.00,9.97,0.75,25.0
751.08,9.91,0.77,25.0
752.16,9.92,0.77,25.0
753.25,9.93,0.75,25.0
754.33,9.94,0.76,25.0
755.41,9.95,0.74,25.0
756.49,9.93,0.76,25.0
757.57,9.92,0.72,25.0
758.66,9.93,0.78,25.0
759.74,9.96,0.78,25.0
760.82,9.92,0.77,25.0
761.90,9.93,0.76,25.0
762.99,9.91,0.76,25.0
764.07,9.90,0.77,25.0
765.15,9.91,0.75,25.0
766.23,9.93,0.76,25.0
767.32,9.94,0.77,25.0
768.40,9.91,0.77,25.0
769.48,9.90,0.76,25.0
770.56,9.95,0.73,25.0
771.64,9.89,0.77,25.0
772.72,9.88,0.74,25.0
773.81,9.92,0.72,25.0
774.89,9.93,0.75,25.0
775.97,9.95,0.76,25.0
777.05,9.95,0.75,25.0
778.14,9.90,0.77,25.0
779.22,9.93,0.75,25.0
780.30,9.92,0.75,25.0
781.38,9.90,0.77,25.0
782.47,9.92,0.75,25.0
783.55,9.94,0.77,25.0
784.63,9.92,0.76,25.0
785.71,9.90,0.76,25.0
786.79,9.94,0.75,25.0
787.88,9.91,0.77,25.0
788.96,9.92,0.76,25.0
790.04,9.96,0.77,25.0
791.12,9.90,0.77,25.0
792.21,9.91,0.76,25.0
793.29,9.91,0.75,25.0
794.37,9.92,0.74,25.0
795.45,9.96,0.75,25.0
796.53,9.93,0.76,25.0
797.62,9.92,0.76,25.0
798.70,9.92,0.75,25.0
799.78,9.92,0.76,25.0
800.86,9.88,0.74,25.0
801.95,9.91,0.75,25.0
803.03,9.91,0.75,25.0
804.11,9.95,0.73,25.0
805.19,9.92,0.75,25.0
806.28,9.93,0.74,25.0
807.36,9.91,0.75,25.0
808.44,9.92,0.77,25.0
809.52,9.93,0.75,25.0
810.60,9.94,0.77,25.0
811.69,9.91,0.75,25.0
812.77,9.96,0.76,25.0
813.85,9.95,0.73,25.0
814.94,9.94,0.75,25.0
816.02,9.91,0.79,25.0
817.10,9.90,0.74,25.0
818.18,9.95,0.73,25.0
819.26,9.91,0.75,25.0
820.34,9.91,0.73,25.0
821.43,9.85,0.71,25.0
822.51,9.92,0.73,25.0
823.59,9.95,0.75,25.0
824.67,9.90,0.73,25.0
825.76,9.93,0.74,25.0
826.84,9.93,0.73,25.0
827.92,9.93,0.72,25.0
829.00,9.92,0.76,25.0
830.09,9.90,0.74,25.0
831.16,9.88,0.74,25.0
832.25,9.91,0.75,25.0
833.33,9.90,0.72,25.0
834.41,9.91,0.75,25.0
835.49,9.91,0.73,25.0
836.58,9.92,0.71,25.0
837.66,9.91,0.71,25.0
838.74,9.92,0.73,25.0
839.82,9.92,0.77,25.0
840.91,9.91,0.76,25.0
841.99,9.89,0.73,25.0
843.07,9.95,0.76,25.0
844.15,9.91,0.70,25.0
845.24,9.86,0.71,25.0
